Property_id,Offer,URL,Property_type,Include_w_e,Title,Area,Governorate,Beds,Baths,Size,Availability_date,Agent_name,Agency,Amenities,rent
13864,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-692986.html,Apartment,Exclusive,Flat in Alsayah for rent - Near Hamad Hospital,Busaiteen,Muharraq Governorate,2,2,"1,216 sqft / 113 sqm",,Murtadha Al Mutawaj,Grnata,1.0,380.0
13700,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-avenue-728132.html,Apartment,Inclusive,Balcony| Modern &amp; Contemporary| Natural Lights,"Amwaj Avenue, Amwaj Islands",Muharraq Governorate,3,3,"1,884 sqft / 175 sqm",,Mirna Kamal,Carlton Real Estate,7.0,500.0
13200,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-hidd-822812.html,Apartment,Inclusive,Apartments for rent in hidd,Hidd,Muharraq Governorate,2,2,"1,399 sqft / 130 sqm",,Ayman Idrees,Grnata Real Estate,,350.0
7414,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-muharraq-governorate-dilmunia-island-essence-of-dilmunia-942098.html,Villa,Exclusive,"New, Infinity pool, Boat Mooring","Essence of Dilmunia, Dilmunia Island",Muharraq Governorate,4+ Maid,5,"5,167 sqft / 480 sqm",,Marie Sharpe,NCR Properties,14.0,1800.0
13688,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-dilmunia-island-essence-of-dilmunia-730568.html,Apartment,Inclusive,Luxury Apartment At Essence Of Dilmunia!!!,"Essence of Dilmunia, Dilmunia Island",Muharraq Governorate,1,2,947 sqft / 88 sqm,9 Jul 2024,Hareesh Nair,United Tower Real Estate,17.0,350.0
4442,Rent,https://www.propertyfinder.bh/en/plp/rent/duplex-for-rent-capital-governorate-al-juffair-950347.html,Duplex,Exclusive,DUPLEX | NAVY REGISTERED | MODERN | HIGH FLOOR,Al Juffair,Capital Governorate,3,4,"2,422 sqft / 225 sqm",2 Sep 2025,Gulnaz Amangeldinova,Glory Real Estate,12.0,704.0
3617,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-salmaniya-951593.html,Apartment,Inclusive,Modern New Residence – First Occupancy,"Salmaniya, Manama",Capital Governorate,1,1,861 sqft / 80 sqm,8 Sep 2025,Mohamed Abdulwahab,LUMINOUS REAL ESTATE,6.0,320.0
13323,Rent,https://www.propertyfinder.bh/en/plp/rent/duplex-for-rent-capital-governorate-al-juffair-802712.html,Duplex,Exclusive,3 BR Sea View Duplex Apartment With Balcony.,Al Juffair,Capital Governorate,3,4,"1,475 sqft / 137 sqm",23 May 2024,Hazeeth,Aabdon Real Estate,6.0,704.0
3034,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-952571.html,Apartment,Inclusive,LOWEST PRICE | 3BHK | SPACIOUS | PRIME LOCATION,Seef,Capital Governorate,3,3,"1,561 sqft / 145 sqm",11 Sep 2025,Zuhair Tlili,Instant Homz,7.0,520.0
13902,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-arad-685817.html,Apartment,Exclusive,For rent an excellent apartment in Arad,Arad,Muharraq Governorate,4,2,"1,292 sqft / 120 sqm",,Yosra Saidi,Grnata,,300.0
2902,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-952781.html,Apartment,Exclusive,Large residential apartment including electricity,Busaiteen,Muharraq Governorate,2+ Maid,3,"1,345 sqft / 125 sqm",13 Sep 2025,BU YAHYA  ALI,Al Wrd Real Estate,25.0,450.0
4,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-reef-island-957074.html,Apartment,Inclusive,Brand New I Modern I Waterfront Family Living,Reef Island,Capital Governorate,2,3,"1,561 sqft / 145 sqm",29 Sep 2025,Antony Shaiju,VH Homes,14.0,725.0
6352,Rent,https://www.propertyfinder.bh/en/plp/rent/penthouse-for-rent-muharraq-governorate-amwaj-islands-amwaj-avenue-945363.html,Penthouse,Inclusive,Stunning penthouse for rent in Amwaj island,"Amwaj Avenue, Amwaj Islands",Muharraq Governorate,3,3,"2,583 sqft / 240 sqm",16 Aug 2025,Hasan Karim,Paradise House Real Estate,9.0,600.0
2459,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-mahooz-953481.html,Apartment,Inclusive,MODERN/ELEGANT/01 BEDROOM/MAHOOZ,"Mahooz, Manama",Capital Governorate,1,2,969 sqft / 90 sqm,15 Sep 2025,JUNAID MUNAWAR,Best Buy Real Estate,12.0,330.0
13273,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-sanabis-808716.html,Apartment,Inclusive,Housekeeping | Gym | Pool | Balcony | Living Room,"Sanabis, Manama",Capital Governorate,2,2,"1,292 sqft / 120 sqm",21 Aug 2025,Abid Siddique,Luxury Homes,8.0,420.0
11528,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-adliya-906712.html,Apartment,Exclusive,"Specious 2 BR Apartment, Prime Place !","Adliya, Manama",Capital Governorate,2,2,11 sqft / 1 sqm,10 Mar 2025,Brunilda Rrapa,BR Properties,7.0,370.0
8527,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-janabiya-936864.html,Apartment,Inclusive,MODERN FLAT WITH ALL AMENITIES IN BUILDING,Janabiya,Northern Governorate,2,2,"1,399 sqft / 130 sqm",28 Aug 2025,Aysha Adil,301  REALESTATE,7.0,475.0
9899,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-zinj-927107.html,Apartment,Inclusive,FURNISHED STUDIO | HOUSEKEEPING | INTERNET,"Zinj, Manama",Capital Governorate,studio,1,538 sqft / 50 sqm,7 Jun 2025,Muhammad,Al Waleed Homes,2.0,180.0
7321,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-beachfront-942354.html,Apartment,Inclusive,ENJOY LIFE WITH CLEAR SEA VIEWS,"Amwaj Beachfront, Amwaj Islands",Muharraq Governorate,2,2,"1,292 sqft / 120 sqm",5 Aug 2025,Farhan Tariq,BHH Real Estate,17.0,400.0
11021,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-914336.html,Apartment,Inclusive,Fully Furnished | City View | Prime Location,Al Juffair,Capital Governorate,3,4,"1,507 sqft / 140 sqm",10 Apr 2025,Anish Singh,MANNAI PROPERTIES W.L.L,8.0,550.0
4398,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-karbabad-950418.html,Apartment,Exclusive,Stunning | City View | Semi Furnished | 2BR in See,"Karbabad, Manama",Capital Governorate,2,2,"1,507 sqft / 140 sqm",30 Aug 2025,Mustafa Al Halwachi,Property Inn,5.0,390.0
11506,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-capital-governorate-manama-adliya-907249.html,Villa,Exclusive,"Pvt single storey Villa + pool Garden I Maidroom,,","Adliya, Manama",Capital Governorate,3+ Maid,2,"5,382 sqft / 500 sqm",23 Sep 2025,V.C. Edison,Alaska Properties,9.0,700.0
440,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-muharraq-governorate-hidd-956619.html,Villa,Exclusive,Navy Approved | Swimming Pool |  Gym Equipment,Hidd,Muharraq Governorate,3+ Maid,3,"3,444 sqft / 320 sqm",27 Sep 2025,Charisse Villaruz,Newton Properties,9.0,822.0
7303,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-beachfront-942377.html,Apartment,Inclusive,PERFECTLY POSITIONED SEA VIEW HOME,"Amwaj Beachfront, Amwaj Islands",Muharraq Governorate,2,2,"1,399 sqft / 130 sqm",5 Aug 2025,Farhan Tariq,BHH Real Estate,17.0,500.0
10568,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-919564.html,Apartment,Inclusive,LUXURIOS 3 BHK  APARTMENT CITY VIEWS  JUFFAIR,Al Juffair,Capital Governorate,3+ Maid,3,"1,399 sqft / 130 sqm",6 May 2025,Rania Properties,Rania Properties W.L.L,25.0,550.0
7407,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-942117.html,Apartment,Inclusive,Sea View 1BR Furnish| Balcony Gym Pool Pedal court,Seef,Capital Governorate,1,2,980 sqft / 91 sqm,9 Sep 2025,Zain Jabbar,Luxury Homes,8.0,650.0
11645,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-reef-island-904942.html,Apartment,Inclusive,SEA VIEWS| Beach Access| long balcony | ALL INCL,Reef Island,Capital Governorate,2+ Maid,2,"2,045 sqft / 190 sqm",13 Sep 2025,Marie Sharpe,NCR Properties,14.0,850.0
3614,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-reef-island-951598.html,Apartment,Inclusive,▐ LUXURY ALL AROUND▐ 1 BED▐ HOTDEAL▐REEF ISLAND▐,Reef Island,Capital Governorate,1,2,861 sqft / 80 sqm,7 Sep 2025,Thantana Real Estate,THANTANA REAL ESTATE,19.0,550.0
6731,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-northern-governorate-saar-944123.html,Villa,Exclusive,4 BEDROOM VILLA WITH PRIVATE GARDEN,Saar,Northern Governorate,4+ Maid,4,"4,306 sqft / 400 sqm",11 Aug 2025,Alice Muthoni,Arabian Homes Properties,14.0,850.0
6473,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-944988.html,Apartment,Exclusive,STUNING | CITY FLOOR | LUXURY | APARTMENT | SEEF,Seef,Capital Governorate,2,2,"1,076 sqft / 100 sqm",9 Aug 2025,Mustafa Al Halwachi,Property Inn,12.0,500.0
11566,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-gufool-906223.html,Apartment,Exclusive,"Spacious flat in gufool with Ac, parking","Gufool, Manama",Capital Governorate,2,2,"1,076 sqft / 100 sqm",1 Oct 2024,Nasser Real Estate,Nasser Real Estate Agency,2.0,230.0
9291,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-932744.html,Apartment,Inclusive,Furnish 2BHK | Gym Pool | House keeping | Split AC,Al Juffair,Capital Governorate,2,2,"1,292 sqft / 120 sqm",7 Aug 2025,Muhammad Usman,Luxury Homes,5.0,380.0
89,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-avenue-956945.html,Apartment,Exclusive,Sea View / Bright &amp; Light / Close Kitchen,"Amwaj Avenue, Amwaj Islands",Muharraq Governorate,2,3,"1,249 sqft / 116 sqm",10 Feb 2025,Muhammad Suleman,Best Buy Real Estate,11.0,350.0
11792,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-reef-island-901463.html,Apartment,Exclusive,LUXURIOUS | AMAZING VIEW | 100 BD LIMIT,Reef Island,Capital Governorate,2,3,"1,345 sqft / 125 sqm",11 Aug 2025,Anna Lavina,Stratus Properties,11.0,780.0
2577,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-953245.html,Apartment,Exclusive,GOOD FAMILY BUILDING | KIDS PLAY/GYM POOL BALCONY,Al Juffair,Capital Governorate,2,2,"1,292 sqft / 120 sqm",14 Sep 2025,khan Mohammad khan,Al Bariq Real Estate,12.0,300.0
7837,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-bahrain-financial-harbour-940630.html,Apartment,Inclusive,Harbor Heights | Sea View | Panoramic | Balcony,"Bahrain Financial Harbour, Manama",Capital Governorate,3+ Maid,4,"2,110 sqft / 196 sqm",30 Jul 2025,Mohammad Saiyed,Alforsa Real Estate,25.0,1200.0
10220,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-maqabah-923876.html,Apartment,Inclusive,Fully Furnished 3BHK | Pool | Storage room,Maqabah,Northern Governorate,3,3,"1,787 sqft / 166 sqm",4 Sep 2025,Zain Jabbar,Luxury Homes,4.0,450.0
8569,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-segaya-936611.html,Apartment,Inclusive,Brand new 1 Bedroom Apartment for Rent in Segaya,"Segaya, Manama",Capital Governorate,1,1,753 sqft / 70 sqm,15 Jul 2025,Savio Fernandes,Almoayyed property solutions,6.0,250.0
9991,Rent,https://www.propertyfinder.bh/en/plp/rent/compound-for-rent-northern-governorate-jannusan-926672.html,Compound,Exclusive,Luxury Spacious Villa w/ Grand Kitchen,Jannusan,Northern Governorate,4+ Maid,4,"5,920 sqft / 550 sqm",4 Jun 2025,Aysha Adil,301  REALESTATE,11.0,800.0
11539,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-906548.html,Apartment,Exclusive,LUXURIOS 2 BHK  APARTMENT SEA VIEWS - SEEF,Seef,Capital Governorate,2,2,"1,184 sqft / 110 sqm",21 Mar 2025,Sameh Gabr,Rania Properties W.L.L,15.0,320.0
10626,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-918996.html,Apartment,Inclusive,HOT | BRAND NEW | HIGH END FACILITIES | LUXUORIOUS,Seef,Capital Governorate,1,2,818 sqft / 76 sqm,5 May 2025,Anza Khurram,Crystallite Real Estate,10.0,625.0
275,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-dilmunia-island-the-treasure-956856.html,Apartment,Inclusive,Sea View Stunning Apartment With Balcony,"The Treasure, Dilmunia Island",Muharraq Governorate,1,2,861 sqft / 80 sqm,28 Sep 2025,Khawla Real Estate,Khawla Real Estate,16.0,350.0
1282,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-janabiya-955294.html,Apartment,Exclusive,PETS ALLOWED | NEAR AL MERCADO MALL,Janabiya,Northern Governorate,3,2,"1,399 sqft / 130 sqm",21 Sep 2025,Muhammad,Al Waleed Homes,4.0,300.0
13094,Rent,https://www.propertyfinder.bh/en/plp/rent/townhouse-for-rent-southern-governorate-zallaq-836286.html,Townhouse,Inclusive,Family-Oriented Townhouse Prime Location,Zallaq,Southern Governorate,3+ Maid,5,"2,153 sqft / 200 sqm",,Yusuf Al Saei,Al Saie Sons Real Estate Est.,13.0,800.0
11162,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-913005.html,Apartment,Inclusive,| NEW BUILDING | MODERN | HOUSEKEEPING |,Seef,Capital Governorate,1,2,861 sqft / 80 sqm,4 Apr 2025,Gulnaz Amangeldinova,Glory Real Estate,13.0,460.0
13668,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-central-governorate-isa-town-736813.html,Apartment,Exclusive,FLAT FOR RENT ISA TOWEN,Isa Town,Central Governorate,2,1,"1,292 sqft / 120 sqm",,Ali Alawami,Grnata,,250.0
6162,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-sanabis-945990.html,Apartment,Inclusive,family|closed kitchen | Manama sea front |negotibl,"Sanabis, Manama",Capital Governorate,2,3,"1,345 sqft / 125 sqm",19 Aug 2025,Mohammed Sayed  Saheb,Grnata Real Estate,10.0,330.0
10084,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-925826.html,Apartment,Exclusive,Brand New | Luxurious | Quiet Area,Al Juffair,Capital Governorate,1,1,969 sqft / 90 sqm,3 Sep 2025,Al Lagoon Real Estate,Al Lagoon Real Estate,7.0,300.0
5059,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-949214.html,Apartment,Inclusive,Brand new|Full ocean view|Balcony|cozy|Spacious,Al Juffair,Capital Governorate,studio,1,484 sqft / 45 sqm,8 May 2025,Ernest Gnanadas,Deccan Real Estate,17.0,350.0
7935,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-940210.html,Apartment,Inclusive,City View Luxury Two Bedroom Apartment,Al Juffair,Capital Governorate,2,2,"1,507 sqft / 140 sqm",29 Jul 2025,MD Washim MD Shamsul Haque Prodhan,Arizona Homes Real Estate,13.0,370.0
10835,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-916632.html,Apartment,Exclusive,Prime location in Al Sayh | Sea view | Easy Access,Busaiteen,Muharraq Governorate,2,2,"1,668 sqft / 155 sqm",11 Jun 2025,Sayed Mohamed Hasan,Best Location Properties,7.0,200.0
11354,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-al-maqsha-910209.html,Apartment,Exclusive,Apartments for rent in al maqsha,Al Maqsha,Northern Governorate,3,3,"1,399 sqft / 130 sqm",,Ayman Idrees,Grnata Real Estate,1.0,250.0
13500,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-northern-governorate-malkiyah-773276.html,Apartment,Exclusive,For rent Flat in Malkiya,Malkiyah,Northern Governorate,1,1,538 sqft / 50 sqm,,Jaafar Hasan,Grnata,,150.0
6685,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-al-marsa-floating-city-944327.html,Apartment,Inclusive,1BHK Apartment | Huge Garden | Direct Beach access,"Al Marsa Floating City, Amwaj Islands",Muharraq Governorate,1,2,"1,130 sqft / 105 sqm",12 Aug 2025,Khalid Al Bushook,Seniors Real Estate,13.0,340.0
9660,Rent,https://www.propertyfinder.bh/en/plp/rent/compound-for-rent-northern-governorate-saar-929395.html,Compound,Exclusive,Budget-Friendly Villa with Ample Space,Saar,Northern Governorate,3+ Maid,3,11 sqft / 1 sqm,16 Jun 2025,Brunilda Rrapa,BR Properties,6.0,650.0
6249,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-mahooz-945674.html,Apartment,Inclusive,WEEKLY HOUSEKEEPING | ELEGANT | LUXURY | UPGRADED,"Mahooz, Manama",Capital Governorate,2,2,"1,345 sqft / 125 sqm",17 Aug 2025,Owais Khan Suri,OKA Real Estate,19.0,430.0
416,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-abraj-al-lulu-956653.html,Apartment,Exclusive,YOUR STYLISH VIBE FILLED HOME JUST A KEY AWAY,"Abraj Al Lulu, Manama",Capital Governorate,3,4,"1,765 sqft / 164 sqm",27 Sep 2025,Nanda Kumar,A-1 Bahrain Properties,16.0,500.0
7773,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-940885.html,Apartment,Inclusive,SPACIOUS LAYOUT | BRIGHT | STYLISH,Seef,Capital Governorate,2,2,"1,507 sqft / 140 sqm",30 Jul 2025,Ali Khamis,Skyscape Real Estate,6.0,440.0
2251,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-amwaj-islands-amwaj-marina-953812.html,Apartment,Inclusive,STUNNING │SPACIOUS │SEA VIEW |SEMI FURNITURE,"Amwaj Marina, Amwaj Islands",Muharraq Governorate,3,3,"1,507 sqft / 140 sqm",16 Sep 2025,Mohamed Ali,HOUSE 2 HOME W.L.L,18.0,610.0
9240,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-dilmunia-island-the-treasure-932918.html,Apartment,Inclusive,Up standard massive full sea view flat,"The Treasure, Dilmunia Island",Muharraq Governorate,1,2,861 sqft / 80 sqm,27 Sep 2025,Anna Mechkovskaya,Bahrain Prime Real Estate,17.0,350.0
5555,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-947751.html,Apartment,Inclusive,High Floor Sea View / Five Star F / Pets Friendly,Al Juffair,Capital Governorate,1,1,753 sqft / 70 sqm,25 Aug 2025,Al Ward Real Estate,AlWard Real Estate,15.0,300.0
4032,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-manama-al-burhama-950951.html,Apartment,Inclusive,Brand New Furnished 2BR Apt with Balcony &amp; EWA,"Al Burhama, Manama",Capital Governorate,1,1,"1,184 sqft / 110 sqm",6 Sep 2025,Anu K H,4You Properties,8.0,300.0
13310,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-hoora-exhibition-road-804971.html,Apartment,Inclusive,PRIME LOCATION || SEA  AND CITY VIEW || INTERNET,"Exhibition Road, Hoora",Capital Governorate,2,2,"1,184 sqft / 110 sqm",26 Feb 2025,Husain Zaman,Padrino Real Estates,11.0,280.0
10438,Rent,https://www.propertyfinder.bh/en/plp/rent/villa-for-rent-muharraq-governorate-amwaj-islands-amwaj-avenue-920839.html,Villa,Exclusive,Furnished | Elevator | Private Pool | Sandy Beach.,"Amwaj Avenue, Amwaj Islands",Muharraq Governorate,4+ Maid,5,"5,490 sqft / 510 sqm",9 Aug 2025,Edna Maundu,Arabian Homes Properties,16.0,1700.0
711,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-reef-island-956194.html,Apartment,Inclusive,Sea View Luxury | Balcony | Peacefull Living IWIFI,Reef Island,Capital Governorate,studio,1,592 sqft / 55 sqm,22 Aug 2024,Antony Shaiju,VH Homes,17.0,400.0
5726,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-muharraq-governorate-busaiteen-947270.html,Apartment,Inclusive,Spacious 3bhk FF flat for rent in Busaiteen,Busaiteen,Muharraq Governorate,3,3,"1,938 sqft / 180 sqm",23 Aug 2025,Hasan Karim,Paradise House Real Estate,9.0,399.0
9961,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-al-juffair-926750.html,Apartment,Inclusive,LUXURIOUS STUDIO / 5* SERVICE / BALCONY,Al Juffair,Capital Governorate,studio,1,495 sqft / 46 sqm,31 May 2025,Gulnaz Amangeldinova,Glory Real Estate,20.0,400.0
3529,Rent,https://www.propertyfinder.bh/en/plp/rent/apartment-for-rent-capital-governorate-seef-951741.html,Apartment,Inclusive,READY TO MOVE | FULLY FURNISHED | GREAT PRICE,Seef,Capital Governorate,1,2,570 sqft / 53 sqm,28 Aug 2025,Rawan Althawadi,Blue Lake Real Estate,11.0,400.0
